Customer,Customer Name,Total Outstanding
41048479,M/s DODA SERVICE STATION,"-64,271.68"
41082965,BIRDA FILLING STATION HPCL SUJANGAR,"-64,954.81"
41049602,"MSHSD KRISHI KALPTARU FILL. STN, RA","-65,475.06"
41003062,MSHSD SHRINATH PETROLEUM,"-67,979.74"
41043731,"M/S GANGA SAHAI & SONS, ALWAR","-69,217.75"
41018089,M/s HAMARA PUMP - PIPLI KA BAS,"-70,375.29"
41079424,ADHOC SAINI FILLING STATION,"-70,739.47"
41034235,M/s Shri Balaji Filling Station,"-77,378.96"
41023614,G S K AGENCY,"-78,240.52"
41029932,M/s KHATRI PETROLEUM,"-79,867.46"
41041307,M/s DEEPAK FUEL CENTRE,"-80,285.64"
41002950,"M/S SHRI SHYAM FILLING STATION, SOD","-87,583.37"
41034215,M/S KALYAN FILLING STATION,"-92,218.75"
41041634,"M/s SURAJ SUKHI FILLING STATION,RAT","-94,064.72"
41029814,PUSHPA FUEL STATION,"-95,436.76"
41030059,M/S PAREEK FILLING STATION,"-99,150.96"
41076081,M/s PREMIUM HP FUELS,"-1,00,000.00"
41082557,ADHOC DHUKIA FILLING STATION,"-1,00,505.55"
41041913,M/S N R FILLING STATION,"-1,00,897.90"
41029774,M/S SHREE BALAJI FILLING STATION CH,"-1,01,980.78"
41049710,RAMESH CHAND SURESH CHAND,"-1,05,628.87"
41027115,M/s SHAH LEKHRAJ RDB PETRO PVT LTD.,"-1,15,726.23"
41049789,M/s GREEN SERVICE STATION,"-1,16,324.78"
41028287,M/s SHAHEED AMIT BHARDWAJ FS,"-1,20,611.20"
41016472,"M/s JAKHAR PETROLEUM, ANUPGARH","-1,20,885.58"
41049186,MAAN SERVICE STATION,"-1,30,031.27"
41041891,M/s DHAKA FILLING STATION,"-1,34,583.21"
41018085,M/s HAMARA PUMP - TIGADIA MODE,"-1,38,073.97"
41041925,VINAYAK FILLING STATION,"-1,53,115.62"
41041920,CHOUDHARY CHANDARBHAN FILLING STATI,"-1,54,562.77"
41041306,VINAYAK FILLING STATION,"-1,58,638.85"
41029085,SHAHID RANVIR FILLING STATION,"-1,64,541.06"
41018038,M/s KESAR FILLING CENTRE,"-1,79,394.20"
41076295,Mundotiya Filling Station,"-2,17,927.71"
41018052,"M/s GROVER FILLING STATION, VIJAYNA","-2,21,576.62"
41041927,M/s SALURAM PRAHLAD CHAND FUEL STAT,"-2,56,250.28"
41048923,"M/S LALSOT FILLING STATION, BAPI","-2,58,843.28"
41049804,SURAJMAL DALMIA,"-2,69,108.40"
41049776,DWARKA LAL AGARWAL,"-3,02,784.34"
41030051,M/S RUDRAYA FILLING STATION,"-3,10,315.69"
41085993,HP KAILASH PETROLEUM,"-3,15,412.06"
41049787,M/s SARAOGIS,"-3,33,506.06"
41049784,M/s SHREE KRISHAN SERVICE STATION,"-3,39,603.29"
41028428,JEEN MATA FILLING STATION,"-3,75,630.21"
41002828,"M/S HARSH VARDHAN FILLING STN, DIGH","-3,85,287.18"
41049714,HIRALAL GOYAL & BROS.,"-5,10,923.73"
41027675,M/s INDUS AGENCIES,"-5,13,623.57"
41028077,M/s AMAR SHAHEED KRISHAN KUMAR YADA,"-5,41,551.41"
41041897,"M/S SHREE RAMAN BIHARI FS, IMLALI","-5,69,427.25"
41035705,M/s DEV ENERGY STATION,"-6,00,920.09"
41002956,M/s ALFA HP,"-6,09,065.77"
41035971,MSHSD AJITGARH FILLING STATION,"-6,21,739.32"
41049803,M/s DASOT SERVICE CENTRE,"-6,35,233.00"
41018627,"M/S HP GEHLOT FILLING STATION, LAWA","-6,62,387.45"
41067242,ACCUROCKET PRIVATE LIMITED,"-6,82,007.07"
41017773,"M/S MAAN HIGHWAY SERVICE STATION, B","-7,46,569.79"
41071963,DHAKHA FILLING STATION,"-7,76,633.32"
41041899,DEEPARNA PETROLEUMS,"-8,95,446.17"
65000096,Security Deposit-NWFZ,"-9,00,000.00"
41027468,"M/s GAURAV FILLING STATION, RAISING","-9,00,493.66"
41018070,M/s GURU JAMBESHWAR PETRO SERVICES,"-9,09,954.97"
41041643,M/s DURGA SUMAN FILLING STATION,"-9,22,110.04"
41057874,M/s MAHADEV FILLING STATION,"-10,04,112.30"
41049895,"M/s MADAN LAL BHATIA AND SONS, GANG","-10,23,898.79"
41049783,M/s RAMBAGH SERVICE STATION,"-10,46,876.85"
41018368,"M/S BAGADI FILLING STATION, BADAGAO","-10,99,884.64"
41029829,"M/S DUSAD FILLING STATION, PAREWARA","-11,45,094.01"
41029968,M/s KOHINOOR PETROLEUM,"-11,68,610.55"
41041914,GANESHAM HAN DHAN FILLING STATION,"-11,78,403.73"
41041641,SHRI SIDDHI VINAYAK FUEL MART,"-12,07,655.83"
41028232,M/s SHIVDAYAL SERVICE STN,"-13,36,442.47"
41029958,"M/S MANNAT PETROLEUM, BHAGWANGARH","-14,23,308.28"
41043771,BAIJNATH SUNDRAM SIKAR,"-14,36,891.74"
41048532,M/s SERVICE CENTRE MI ROAD,"-15,34,642.12"
41018083,M/s HAMARA PUMP BEENJHBAYALA,"-15,44,241.96"
41018393,M/s GANPATI FILLING CENTRE,"-19,70,476.88"
41016485,M/s KARAN FILLING STATION,"-20,36,760.28"
41049721,RAMESHWAR LAL PRAHLADKA,"-22,94,907.19"
41042506,M/s TAMBI ENTERPRISES,"-24,90,547.77"
41027437,"M/s LEGHA FILLING STATION, SATRANA","-29,04,006.98"
41034245,M/S PATH DME CH 99 LHS,"-33,96,875.80"
41034246,M/S PATH DME CH 99 RHS,"-57,04,538.50"
41034247,M/S PATH DME CH 125 LHS,"-59,36,881.51"
41002792,M/s MILLENNIUM JAIPUR BARWARA HOUSE,"-86,42,512.27"
41034248,M/S PATH DME CH 125 RHS,"-1,09,49,462.34"
41028213,M/s HP CENTRE VIDHYADHARNAGAR,"-1,27,30,794.12"
